Totalpris,Adresse,Postnummer,Størrelse,URL
6479776,Grefsenveien 34B,0485,77,https://www.finn.no/realestate/homes/ad.html?finnkode=385836904
4489288,Utmarkveien 27,0691,77,https://www.finn.no/realestate/homes/ad.html?finnkode=390085414
5551562,Glimmerveien 34,1155,76,https://www.finn.no/realestate/homes/ad.html?finnkode=389865287
6449048,Sørvangen 26A.,0282,72,https://www.finn.no/realestate/homes/ad.html?finnkode=364579119
5899241,Arups gate 14A,0192,87,https://www.finn.no/realestate/homes/ad.html?finnkode=389269175
6491562,Hans Nielsen Hauges gate 31,0481,77,https://www.finn.no/realestate/homes/ad.html?finnkode=389212687
4496302,Sigrid Undsets vei 1,0669,80,https://www.finn.no/realestate/homes/ad.html?finnkode=390336093
6095077,Nordstjerneveien 3,0494,80,https://www.finn.no/realestate/homes/ad.html?finnkode=364251608
5562510,Olaf Schous vei 12 - 401,0572,70,https://www.finn.no/realestate/homes/ad.html?finnkode=368268443
6159688,Lambertseterveien 3B,1160,79,https://www.finn.no/realestate/homes/ad.html?finnkode=389415088
4977202,Arnulf Øverlands vei 7,0763,77,https://www.finn.no/realestate/homes/ad.html?finnkode=389654076
5725715,Borggata 12B,0650,69,https://www.finn.no/realestate/homes/ad.html?finnkode=390235818
6305302,Selma Ellefsens vei 3E,0581,73,https://www.finn.no/realestate/homes/ad.html?finnkode=388304882
4809021,Mellombølgen 4,1157,81,https://www.finn.no/realestate/homes/ad.html?finnkode=390091850
3870277,Blakkens vei 98,1281,78,https://www.finn.no/realestate/homes/ad.html?finnkode=389263828
6397768,Københavngata 4A,0553,81,https://www.finn.no/realestate/homes/ad.html?finnkode=389256350
4877302,Vetlandsveien 76,0685,74,https://www.finn.no/realestate/homes/ad.html?finnkode=390216408
3686990,Hallagerbakken 42,1256,77,https://www.finn.no/realestate/homes/ad.html?finnkode=389894384
5401990,Mikrobølgen 7,1151,94,https://www.finn.no/realestate/homes/ad.html?finnkode=389495574
4087093,Tante Ulrikkes vei 46A,0984,72,https://www.finn.no/realestate/homes/ad.html?finnkode=388202694
3717562,Kristoffer Robins vei 44,0978,79,https://www.finn.no/realestate/homes/ad.html?finnkode=389114017
5942981,Grindbakken 22,0764,80,https://www.finn.no/realestate/homes/ad.html?finnkode=384347753
5764532,Persbråtan 21,0770,80,https://www.finn.no/realestate/homes/ad.html?finnkode=389356430
4980858,Bølerlia 64,0689,87,https://www.finn.no/realestate/homes/ad.html?finnkode=383704203
5331305,Enebakkveien 219A,0680,77,https://www.finn.no/realestate/homes/ad.html?finnkode=388358848
5331000,Husebybakken 17M,0379,77,https://www.finn.no/realestate/homes/ad.html?finnkode=390380894
5409462,Etterstadsletta 99B,0660,92,https://www.finn.no/realestate/homes/ad.html?finnkode=389901095
4073862,Rugveien 87,0679,76,https://www.finn.no/realestate/homes/ad.html?finnkode=389392657
