Index,Adresse,Postnummer,URL,Leiepris,Primærrom,Internt bruksareal (BRA-i),Bruksareal,Eksternt bruksareal (BRA-e),Balkong/Terrasse (TBA),#Bruttoareal,AREAL,PRIS KVM
80,Nils Collett Vogts Vei 76,766.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=404620025,16000,,40.0,,,,,40.0,400
81,Maridalsveien 205,469.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=344297973,17800,,36.0,,,,,36.0,494
82,Haugerudhagan 82,673.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=400912750,16000,,35.0,35.0,,,,35.0,457
83,Pilestredet 100 A,358.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=404619358,14900,,32.0,32.0,,,,32.0,465
84,Nils Huus Gate 18,482.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=310426228,18000,33.0,,,,,,33.0,545
85,Ensjøveien 4,655.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=403133469,15000,88.0,,,,,,88.0,170
86,Røa Terrasse 28,755.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=232151797,16000,45.0,,,,,,45.0,355
87,Raschs Vei 30 B,1178.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=234204713,13000,31.0,,,,,,31.0,419
88,0484 Oslo,,https://www.finn.no/realestate/lettings/ad.html?finnkode=386041350,16000,,35.0,,,,,35.0,457
89,Grønnvoll Allen 42,661.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=156121762,14500,30.0,,36.0,,,,30.0,483
90,Holmengrenda 5,771.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=335686928,14000,,43.0,,,,,43.0,325
91,Holmboes Gate 4,357.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=404326704,16500,31.0,,31.0,,,,31.0,532
